screen_no,start_timestamp,end_timestamp,start_seconds,duration_seconds,section,screen,notes
54,3:27.00,5:04.32,207.00,97.32,Plan reveal,'Your Plan for the Rest of this Week',Sat & Sun '2 or fewer drinks'; 'We're recommending a slight taper vs. your baseline'; Confirm this plan / Customize plan (long dwell)
55,5:04.32,5:06.90,304.32,2.58,Plan reveal,'Customize Your Plan' — Suggested / Target / Change table,"Sat 2 → 2, Sun 2 → 2; +/- steppers; Update Targets"
56,5:06.90,5:18.00,306.90,11.10,Plan reveal,Customize Your Plan — Saturday lowered,Sat target 1 (change ↓1); 'You can adjust your plan if you have days that you know will be lighter or heavier'
57,5:18.00,5:21.00,318.00,3.00,Plan reveal,Your Plan for the Rest of this Week — updated,"Sat '1 or fewer drinks', Sun 2; 'You've successfully updated your plan'; Confirm this plan"
58,5:21.00,5:23.92,321.00,2.92,Plan reveal,'You're set up for a great first week!','Now let's take a look at a day in the life with Sunnyside.'
59,5:23.92,5:28.33,323.92,4.41,Coaching & notifications setup,'Your Daily Routine' timeline,9:00 AM Tracking Reminder text; On-Demand Coaching; 6:00 PM Plan Reminder; Continue
60,5:28.33,5:36.05,328.33,7.72,Coaching & notifications setup,'Activate Text Messages for the Best Results','Research shows that text message nudges are particularly effective'; Daily Nudges / Discreet Drink Tracking / Text a Human Coach; Activate Text Messaging / Not Now
61,5:36.05,5:39.05,336.05,3.00,Coaching & notifications setup,'Tap Below to Activate Text Messages',Uses iMessage; 'tap below then hit SEND on the message that pops up'; Activate Text Messages
62,5:39.05,5:39.96,339.05,0.91,Coaching & notifications setup,Transition to iMessage compose sheet,
63,5:39.96,5:45.95,339.96,5.99,Coaching & notifications setup,iMessage compose sheet to Sunnyside — prefilled 'Hit send to activate messaging','Usually responds in a few minutes'; tester selects text but does not send
64,5:45.95,5:46.82,345.95,0.87,Coaching & notifications setup,iOS app switcher,
65,5:46.82,5:52.21,346.82,5.39,Coaching & notifications setup,Back on 'Tap Below to Activate Text Messages',
66,5:52.21,5:53.10,352.21,0.89,Coaching & notifications setup,Messages app opening with Sunnyside compose sheet,
67,5:53.10,5:54.00,353.10,0.90,Coaching & notifications setup,'New iMessage' compose sheet — send enabled,Not sent
68,5:54.00,5:54.71,354.00,0.71,Coaching & notifications setup,Messages inbox,
69,5:54.71,5:55.90,354.71,1.19,Coaching & notifications setup,iOS app switcher — returning to Sunnyside,
70,5:55.90,6:01.71,355.90,5.81,Coaching & notifications setup,Back on 'Tap Below to Activate Text Messages',
71,6:01.71,6:03.17,361.71,1.46,Coaching & notifications setup,'Activate Text Messages for the Best Results' (back),Not Now tapped
72,6:03.17,6:05.70,363.17,2.53,Coaching & notifications setup,Modal — 'Are you sure?','Members who activate messaging are most successful in reaching their healthier drinking goals.' Activate Text Messaging / Yes I'm Sure (confirmshaming-style retention)
73,6:05.70,6:13.13,365.70,7.43,Coaching & notifications setup,'Complete Push Notification Setup',Drink Tracking Reminder preview; Daily Tracking Reminders; 'Texting Still Available'; Setup Push Notifications / Setup Text Messages
74,6:13.13,6:16.07,373.13,2.94,Coaching & notifications setup,'Activate Text Messages for the Best Results' (again),Went back via Setup Text Messages
75,6:16.07,6:21.43,376.07,5.36,Coaching & notifications setup,Modal — 'Are you sure?' (again),Yes I'm Sure
76,6:21.43,6:25.34,381.43,3.91,Coaching & notifications setup,'Complete Push Notification Setup' (again),Setup Push Notifications tapped; no iOS permission prompt visible in recording
77,6:25.34,6:27.90,385.34,2.56,App tour,Today coach mark — 'Welcome to the Sunnyside app! Get started with a quick tour.',Next arrow; 9-step tour
78,6:27.90,6:32.96,387.90,5.06,App tour,Coach mark — 'Start your day in the Today tab',"set goals, track drinks, complete daily routines"
79,6:32.96,6:37.34,392.96,4.38,App tour,"Coach mark — 'Tap Day to log drinks, access tools like journaling and coaching'",
80,6:37.34,6:39.09,397.34,1.75,App tour,Coach mark — 'Tap Week to see the bigger picture of how your week is going',"catch up past-day tracking, update targets"
81,6:39.09,6:41.42,399.09,2.33,App tour,Coach mark — 'Tap Progress to see the impact more mindful drinking has on your health and lifestyle',
82,6:41.42,6:42.83,401.42,1.41,App tour,Coach mark — 'Tap Community for daily reflections in a safe space',
83,6:42.83,6:43.78,402.83,0.95,App tour,Coach mark — 'Tap Challenges to join a group challenge','added layer of shared accountability'
84,6:43.78,6:45.21,403.78,1.43,App tour,Coach mark — 'Tap Coaching to access human coaching support',plus on-demand resources
85,6:45.21,6:53.02,405.21,7.81,App tour,"Coach mark — 'You're all set! And remember, you can still text us whenever you need anything'",Checkmark to close
86,6:53.02,6:57.90,413.02,4.88,Today,Today home (Day view) — 'Today September 12',Drinks counter '–' with +/-; Today's Plan 1 drink; Add Note / Text a Coach; tabs Today/Progress/Community/Challenges/Coaching; MED + PROFILE buttons
87,6:57.90,7:01.00,417.90,3.10,Drink logging,Today — 1 drink logged,Ring turns green (within plan); Sat cell shows 1
88,7:01.00,7:05.00,421.00,4.00,Drink logging,Today — decremented to 0,Testing +/- stepper
89,7:05.00,7:05.91,425.00,0.91,Drink logging,Today — back to 1 drink,
90,7:05.91,7:10.31,425.91,4.40,Today,Today — scrolled to 'Your Daily Routine' cards,'Welcome to the Today Tab!' Take the Tour; Today's Reflection 'Lean on your community'; Daily Motivation
91,7:10.31,7:12.15,430.31,1.84,Today,Today — scrolled back to top,
92,7:12.15,7:19.53,432.15,7.38,Progress,Progress tab — 'Your data tells a story',"Total Drinks Reduced 1, Total Dry Days Added –, Tracking Streak 1 day; Progress Over Time drinks chart vs baseline"
93,7:19.53,7:21.51,439.53,1.98,Today,Today (Day view),
94,7:21.51,7:27.00,441.51,5.49,Week view,Week view — 'This week',ON TRACK: 1 drink of 3 this week's plan; 0 of 5 dry days; Daily Breakdown table; Update Plan
95,7:27.00,7:30.00,447.00,3.00,Week view,Week view — scrolled Daily Breakdown,"Drinks vs Plan columns; Sat 1, Sun plan 2"
96,7:30.00,7:36.00,450.00,6.00,Week view,Week view — past days back-filled,"Mon logged 0 (green), Tue–Fri unlogged (red); plan 1/1/2/3/3/1/2 mirrors quiz baseline minus taper"
97,7:36.00,7:52.00,456.00,16.00,Week view,Week view — Update Plan edit mode toggled on/off,'Save Plan' with per-day plan steppers; toggled several times
98,7:52.00,7:55.56,472.00,3.56,Week view,Week view — scrolled to bottom,'Interested in sharing your feedback?' Give feedback
99,7:55.56,7:57.84,475.56,2.28,Week view,"Week view — top, recalculated",PACING UNDER 1 of 13 drinks; PACING OVER 1 of 0 dry days
100,7:57.84,8:04.61,477.84,6.77,Today,Today (Day view) — week strip updated,"Mon 0 green, Tue–Fri red, Sat 1"
101,8:04.61,8:08.44,484.61,3.83,Med upsell,MED sheet — 'A daily pill that helps you drink less or quit','New from Sunnyside'; naltrexone for eligible members; Learn More
102,8:08.44,8:09.25,488.44,0.81,Med upsell,MED sheet dismissing,
103,8:09.25,8:12.65,489.25,3.40,Settings,'Account Preferences',"Profile, Notification preferences, Earn rewards, Read our blog, Contact us, Terms & privacy, Logout"
104,8:12.65,8:15.36,492.65,2.71,Settings,'Profile' — Your Subscriptions / Your Account,"'Your free trial is active', Annual, member since Sep 12 2026; name/email/number/timezone; Age Range blank"
105,8:15.36,8:19.67,495.36,4.31,Settings,Profile — scrolled to Your Goals / Long-term Targets,"Top goal 'Stop blacking (or graying) out'; second 'Lose weight by cutting alcohol calories (and drunchies)'; 14→7 total drinks, 0→4 dry days; Update your baseline"
106,8:19.67,8:20.80,499.67,1.13,Settings,Profile — scrolled to focus areas / Progress Settings,"Average drink cost $8, 125 kcal; hide calories/dry-day streak toggles"
107,8:20.80,8:22.48,500.80,1.68,Settings,'Account Preferences' (back),
108,8:22.48,8:23.91,502.48,1.43,Today,Today (Day view),
109,8:23.91,8:24.84,503.91,0.93,Coaching,Coaching tab — 'Text with a friendly human coach',"Prompts: craving/struggling, get the most out of Sunnyside, plan advice, celebrate a win, hard time, social event; coach 'Online'"
110,8:24.84,8:26.13,504.84,1.29,Challenges,Challenges tab — Featured 'New Member Challenge',"2.7k participants; Cut 30% in 30 Days (10.7k), Drink 50% Less (15k), Week Night Dry (19.7k)"
111,8:26.13,8:27.92,506.13,1.79,Community,Community tab — 'Lean on your community',Daily prompt; Post Your Response / Post in private journal; member post from @RB859
112,8:27.92,8:30.04,507.92,2.12,Progress,Progress tab — updated stats,"Total Drinks Reduced 2, Dry Days Added 1, streak 1 day; 0.2 drinks daily avg"
113,8:30.04,8:32.12,510.04,2.08,Today,Today (Day view) — end of recording,
