screen_no,start_timestamp,end_timestamp,start_seconds,duration_seconds,section,screen,notes
29,1:45.00,1:56.60,105.00,11.60,Quiz - Support Areas,"What areas would you like support with? (scrolled, toggling)","More options: Appreciate the good things / Self-acceptance and confidence / Manage stress and anxiety / Strengthen social skills / Build and keep a routine; final: focus, active, self-acceptance, stress, social"
30,1:56.60,2:05.00,116.60,8.40,Quiz - Support Areas,Which topics make it harder for you to feel confident or accept yourself?,Multi select: Body image / Overall health / Social skills / Motivation / Chronic pain; Body image selected
31,2:05.00,2:19.00,125.00,14.00,Quiz - Support Areas,Which topics make it harder for you to feel confident or accept yourself? (scrolled),"More: Fitness level / Energy levels / Time management and procrastination / Managing emotions / Relationships / Other; final: Body image, Social skills, Energy levels"
32,2:19.00,2:24.00,139.00,5.00,Quiz - Support Areas,What tends to overwhelm you the most?,Multi select: Too many responsibilities / Work or school stress (selected) / Perfectionism / Mental or physical health issues / Financial concerns
33,2:24.00,2:29.00,144.00,5.00,Quiz - Support Areas,What tends to overwhelm you the most? (scrolled),More: Relationship issues / Lack of time for yourself / Major life changes / Making decisions / Taking care of others / Other
34,2:29.00,2:38.80,149.00,9.80,Quiz - Support Areas,What's your biggest obstacle to staying active?,Too busy / too tired / weather / 'I don't see results' (selected) / no enjoyable exercise / 'I'm worried about being judged' / 'I'm out of shape so it's hard to do' / no space
35,2:38.80,2:44.50,158.80,5.70,Quiz - Support Areas,What do you often find yourself procrastinating on?,Multi select: Exercising / Healthy eating / Responding to messages / Managing finances / Homework or work tasks
36,2:44.50,2:52.00,164.50,7.50,Quiz - Support Areas,What do you often find yourself procrastinating on? (scrolled),More: Hobbies / Chores / Taking breaks / Important life decisions / Scheduling appointments; Managing finances + Responding to messages selected
37,2:52.00,3:05.20,172.00,13.20,Quiz - Support Areas,Why do you think you put things off?,Bored / too overwhelmed / don't make time / 'I'm scared of failing' (selected) / scared of succeeding / 'I don't believe in myself' / not motivated enough
38,3:05.20,3:08.00,185.20,2.80,Plan generation,'Generating your self-care goals with Otter...' progress ring,~3s
39,3:08.00,3:18.10,188.00,10.10,Plan reveal,'Iris's starter plan' — 'Try these easy goals with Otter!',"Otter: 'You got this, cheep!'; 7 micro-goals: Get out of bed, Brush teeth, Wash my face, Drink water, Stretch break, One thing that makes me happy, 3 deep breaths; Let's do it!"
40,3:18.10,3:28.00,198.10,9.90,Paywall,'Finch is free to use — But we'd love for you to try Finch Plus for 7 days free too!','Over 500K+ 5-star reviews worldwide'; See my FREE offer; free tier stated up front
41,3:28.00,3:32.90,208.00,4.90,Paywall,'Free to cancel anytime — We'll send a reminder 2 days before your free trial ends','Loved by 45M+ users'; See my FREE offer
42,3:32.90,3:35.60,212.90,2.70,Paywall,'One-time offer! 50% OFF when you start your free trial now',Editors' Choice App Store badge; 'Biggest discount ever—just for you & Otter'; See FREE offer details
43,3:35.60,3:46.50,215.60,10.90,Paywall,'Start your 7-day FREE trial' — 'One-time offer applied',Timeline Today / Day 5 reminder / Day 7 charged Sep 19; then $69.99 struck → $34.99 per year (save 50%); Start my free trial now / Skip this one-time offer; 'Offer expires when you exit this screen!'
44,3:46.50,4:20.50,226.50,34.00,Paywall,Trial screen — purchase processing (button spinner),~34s; App Store confirmation sheet not visible in recording
45,4:20.50,4:24.60,260.50,4.10,App entry,Widget upsell — 'Make your habits stick!','Users with the widget are 4x more likely to stick with their self-care habits'; Add widget / No thanks
46,4:24.60,4:29.70,264.60,5.10,Today,"Home — Otter in forest, '1st Adventure 0/15', '7 goals left for today!'",Starter-plan goals listed (5 energy each) with check buttons; tabs Home / Quests / Shop / Friends / Bag / Otter
47,4:29.70,4:31.10,269.70,1.40,App tour,'Otter's bag',Mail (1) / Outfits / Furniture / locked Colors & Micropets; Finchie Forest
48,4:31.10,4:33.60,271.10,2.50,App tour,'Otter's Mail' — 'The time capsule is open! Add some memories',1 new message
49,4:33.60,4:34.90,273.60,1.30,Today,Home — back from mail,
50,4:34.90,4:36.00,274.90,1.10,App tour,Location switcher overlay — 'Otter's house' / 'Finchie Forest',Close X
51,4:36.00,4:40.80,276.00,4.80,Today,Home — idle,
52,4:40.80,4:42.31,280.80,1.51,End of recording,iOS Control Center — stopping screen recording,
