id,code,thread,user,quote
Q27,WANT,14,Spiritual_Essay677,"i use the reframe app, and what i really like about it is the way it shows me money saved, calories avoided, and drinks avoided. seeing those numbers going up are really consequential and motivating for me."
Q28,WANT,1,External-Voice3516,"I just signed up 2 days ago, on day 3, I really like the science behind it and how much alcohol requires your brain. I find that a big motivator."
Q29,INTERACTION,16,Pitmidget,Just the habit of checking it every morning and every night helped distract me from cravings.
Q30,INTERACTION,10,bindirose,"I like the Daily Pledge, I set a notification first thing in the morning and it's a nice way to start the day for me."
Q31,INTERACTION,4,YourMirror1,It gives you little dopamine bursts by giving you points when you beat a craving or finish daily tasks and check in with your count.
Q32,INTERACTION,13,Old-Pie-716,"i use sponsi-ai, for me it feels like im texting a good friend or something that reminds me what im trying to recover for."
Q33,CHURN,1,BubblyInvestigator33,I like the drink tracker and the daily tasks...I can't stand the meetings so I yeeted those and soon after the community forums. For me it isn't worth the subscription
Q34,CHURN,1,Traditional_Ad129,"Yeah it's seemed helpful so far but idk if I'll stick with the subscription, there's a lot to learn on it but I'm not to into the meetings of community forums either."
Q35,CHURN,7,BubblyInvestigator33,"I'll second I Am Sober, I have it on Android and I like how it rolls with me, I don't have to enter a sober date every Day 1, unlike Reframe."
Q36,CHURN,14,Spiritual_Essay677,"the first few times going sober, i did really enjoy learning more about the biology behind addiction but have not found myself accessing that area for a while now."
Q37,CHURN,14,JEulerius,"Same vibes for me, mate, I mean I also don't need some app community."
Q38,PRICE,14,Spiritual_Essay677,it is however prohibitively pricey - i got mine heavily discounted.
Q39,PRICE,6,Hot_Course9003,I know reframe is good but I can't afford to pay for it right now.
Q40,PRICE,4,cloudhangouts,I'm currently doing the 7-day free trial (a year is $99) so I want to see if it's worth the investment! It seems to have a lot of great tools but I'm not sure where to start besides daily reflections.
Q41,PRICE,3,clennon2525,Do not subscribe to Calmio. They will continue to bill you regardless of trying to cancel.
Q42,PRIVACY,7,PinkMorningSky,"I didn't want to do data sharing on a sobriety focused app, TBH."
Q43,PRIVACY,14,Top_Concentrate_5799,i really value not needing an account. All my data should be local. And perhaps pin protected.
Q44,PRIVACY,14,carbondj,I also agree with other posters about forgoing some involved account registration process.
Q45,PRIVACY,3,JEulerius,"I wanted something without community features or social stuff because I didn't want to think about that part. Just open it, see my days, move on."
Q46,OBJECTION,5,ChanceDaring,"Couldn't you just mark this on a calendar, or use the notes app? I mean even keeping a pen and paper journal would do this, right?"
Q47,OBJECTION,5,IdahoDuncan,"More power to you, but I feel like once your registering drinks in app, it's clear you a larger problem."
Q48,OBJECTION,6,Eye-deliver,I did not use an app other than Reddit to stop so I do not have any experience with them.
Q49,OBJECTION,3,Remarkable-Pepper707,"I used the app reframe. It's free. It tries to teach you why alcohol is so bad for your brain and your body. I was skeptical at first, but it helped me get through a lot"
Q50,MOTIVATION,14,carbondj,there are quite a few people who like to track their total sober days/wins vs just streaks... it would be useful to offer an option for a user to adjust the counter back the amount of time they relapsed.
Q51,MOTIVATION,2,Texasissippi,I joined Reframe after seeing some of their ads on Instagram. I did a 30 day alcohol free challenge right away... I'm now 130 days without a drink where before I was drinking about 15 drinks a week.
Q52,MOTIVATION,14,Kind_Ebb_3290,I actually like all the extras with community / tracking. But may not be for everyone. I can always leave the community features / stop tracking when I want.
